Title,Year,Type,Runtime,Genre,Rating,Director,No_of_ratings,Gross
Jumanji: Welcome to the Jungle,2017,PG-13,119 min,"Action, Adventure, Comedy",7,Jake Kasdan,200554,$404.52M
The Greatest Showman,2017,PG,105 min,"Biography, Drama, Musical",7.7,Michael Gracey,150868,$174.34M
Thor: Ragnarok,2017,PG-13,130 min,"Action, Adventure, Comedy",7.9,Taika Waititi,382286,$315.06M
It,2017,R,135 min,"Drama, Horror, Thriller",7.4,Andy Muschietti,303194,$327.48M
The Equalizer,2014,R,132 min,"Action, Crime, Thriller",7.2,Antoine Fuqua,278648,$101.53M
Hostiles,2017,R,134 min,"Action, Adventure, Drama",7.2,Scott Cooper,37649,$29.82M
Mother!,2017,R,121 min,"Drama, Horror, Mystery",6.6,Darren Aronofsky,132558,$17.80M
"Three Billboards Outside Ebbing, Missouri",2017,R,115 min,"Comedy, Crime, Drama",8.2,Martin McDonagh,274363,$54.51M
Murder on the Orient Express,2017,PG-13,114 min,"Crime, Drama, Mystery",6.5,Kenneth Branagh,153039,$102.83M
Justice League,2017,PG-13,120 min,"Action, Adventure, Fantasy",6.6,Zack Snyder,280174,$229.02M
Star Wars: Episode VIII - The Last Jedi,2017,PG-13,152 min,"Action, Adventure, Fantasy",7.2,Rian Johnson,412142,$620.18M
Spider-Man: Homecoming,2017,PG-13,133 min,"Action, Adventure, Sci-Fi",7.5,Jon Watts,354720,$334.20M
Blade Runner 2049,2017,R,164 min,"Drama, Mystery, Sci-Fi",8.1,Denis Villeneuve,327767,$92.05M
Ghost Stories,2017,Not Rated,98 min,"Drama, Horror",6.4,Jeremy Dyson,12033,$0.14M
Father Figures,2017,R,113 min,Comedy,5.4,Lawrence Sher,10240,$17.50M
Guardians of the Galaxy Vol. 2,2017,PG-13,136 min,"Action, Adventure, Comedy",7.7,James Gunn,407706,$389.81M
Coco,2017,PG,105 min,"Animation, Adventure, Comedy",8.4,Lee Unkrich,213567,$209.73M
The Shape of Water,2017,R,123 min,"Adventure, Drama, Fantasy",7.4,Guillermo del Toro,246924,$63.86M
Call Me by Your Name,2017,R,132 min,"Drama, Romance",8,Luca Guadagnino,123505,$18.10M
Baby Driver,2017,R,112 min,"Action, Crime, Drama",7.7,Edgar Wright,322209,$107.83M
Suicide Squad,2016,PG-13,123 min,"Action, Adventure, Fantasy",6.1,David Ayer,492048,$325.10M
Kingsman: The Golden Circle,2017,R,141 min,"Action, Adventure, Comedy",6.8,Matthew Vaughn,200656,$100.23M
Dunkirk,2017,PG-13,106 min,"Action, Drama, History",8,Christopher Nolan,416090,$188.37M
Get Out,2017,R,104 min,"Horror, Mystery, Thriller",7.7,Jordan Peele,329520,$176.04M
Watchmen,2009,R,162 min,"Action, Drama, Mystery",7.6,Zack Snyder,437644,$107.51M
Darkest Hour,2017,PG-13,125 min,"Biography, Drama, History",7.4,Joe Wright,111467,$56.44M
Baywatch,2017,R,116 min,"Action, Comedy, Crime",5.6,Seth Gordon,115362,$58.06M
X-Men: Apocalypse,2016,PG-13,144 min,"Action, Adventure, Sci-Fi",7,Bryan Singer,328428,$155.44M
Wonder,2017,PG,113 min,"Drama, Family",8,Stephen Chbosky,86930,$132.42M
John Wick,2014,R,101 min,"Action, Crime, Thriller",7.3,Chad Stahelski,397908,$43.04M
Wonder Woman,2017,PG-13,141 min,"Action, Adventure, Fantasy",7.5,Patty Jenkins,434462,$412.56M
Mission: Impossible - Rogue Nation,2015,PG-13,131 min,"Action, Adventure, Thriller",7.4,Christopher McQuarrie,292037,$195.04M
First Reformed,2017,R,113 min,"Drama, Thriller",7.2,Paul Schrader,10307,$3.45M
Downsizing,2017,R,135 min,"Drama, Sci-Fi",5.7,Alexander Payne,58241,$24.45M
Sicario,2015,R,121 min,"Action, Crime, Drama",7.6,Denis Villeneuve,301800,$46.89M
Split,X) (2016,PG-13,117 min,"Horror, Thriller",7.3,M. Night Shyamalan,282564,$138.29M
Moana,2016,PG,107 min,"Animation, Adventure, Comedy",7.6,Ron Clements,200864,$248.76M
Love,2015,Not Rated,135 min,"Drama, Romance",6,Gaspar Noé,31079,NaN
Pirates of the Caribbean: Dead Men Tell No Tales,2017,PG-13,129 min,"Action, Adventure, Fantasy",6.6,Joachim Rønning,205487,$172.56M
Beauty and the Beast,2017,PG,129 min,"Family, Fantasy, Musical",7.2,Bill Condon,215641,$504.01M
Year One,2009,PG-13,97 min,"Adventure, Comedy",4.9,Harold Ramis,83132,$43.34M
Doctor Strange,2016,PG-13,115 min,"Action, Adventure, Fantasy",7.5,Scott Derrickson,446177,$232.64M
Sing,2016,PG,108 min,"Animation, Comedy, Family",7.1,Garth Jennings,102928,$270.33M
The Hitman's Bodyguard,2017,R,118 min,"Action, Comedy, Thriller",6.9,Patrick Hughes,143055,$75.47M
The Conjuring,2013,R,112 min,"Horror, Mystery, Thriller",7.5,James Wan,368041,$137.40M
Mamma Mia!,2008,PG-13,108 min,"Comedy, Musical, Romance",6.4,Phyllida Lloyd,177783,$144.13M
Frozen,2013,PG,102 min,"Animation, Adventure, Comedy",7.5,Chris Buck,492118,$400.74M
Fantastic Beasts and Where to Find Them,2016,PG-13,133 min,"Adventure, Family, Fantasy",7.4,David Yates,314839,$234.04M
Geostorm,2017,PG-13,109 min,"Action, Sci-Fi, Thriller",5.3,Dean Devlin,67307,$33.70M
Ex Machina,2014,R,108 min,"Drama, Mystery, Sci-Fi",7.7,Alex Garland,395936,$25.44M
Fifty Shades of Grey,2015,R,125 min,"Drama, Romance, Thriller",4.1,Sam Taylor-Johnson,267606,$166.17M
John Wick: Chapter 2,2017,R,122 min,"Action, Crime, Thriller",7.5,Chad Stahelski,241813,$92.03M
The Conjuring 2,2016,R,134 min,"Horror, Mystery, Thriller",7.4,James Wan,173743,$102.47M
Revenge,2017,R,108 min,"Action, Horror, Thriller",6.3,Coralie Fargeat,15620,$0.10M
Wind River,2017,R,107 min,"Crime, Drama, Mystery",7.8,Taylor Sheridan,140845,$33.80M
Sausage Party,2016,R,89 min,"Animation, Adventure, Comedy",6.2,Greg Tiernan,149251,$97.66M
Jigsaw,2017,R,92 min,"Crime, Horror, Mystery",5.8,Michael Spierig,48357,$38.05M
Captain Fantastic,2016,R,118 min,"Comedy, Drama",7.9,Matt Ross,145130,$5.88M
Transformers: The Last Knight,2017,PG-13,154 min,"Action, Adventure, Sci-Fi",5.2,Michael Bay,105485,$130.17M
Jack Ryan: Shadow Recruit,2014,PG-13,105 min,"Action, Drama, Thriller",6.2,Kenneth Branagh,110240,$50.58M
Gods of Egypt,2016,PG-13,127 min,"Action, Adventure, Fantasy",5.4,Alex Proyas,88963,$31.15M
"I, Tonya",2017,R,120 min,"Biography, Comedy, Drama",7.5,Craig Gillespie,109044,$30.01M
Ant-Man,2015,PG-13,117 min,"Action, Adventure, Comedy",7.3,Peyton Reed,447907,$180.20M
Pitch Perfect 3,2017,PG-13,93 min,"Comedy, Music",5.9,Trish Sie,35240,$104.90M
A Prayer Before Dawn,2017,R,116 min,"Action, Biography, Crime",7,Jean-Stéphane Sauvaire,6501,NaN
Room,2015,R,118 min,"Drama, Thriller",8.2,Lenny Abrahamson,285970,$14.68M
